Wed Dec  8 01:18:53 EST 2021,inference-densenet121-tigershark4-job-0,job_config_inference-densenet121-tigershark4.yaml,1
Wed Dec  8 01:18:54 EST 2021,inference-resnet101-dog1-job-0,job_config_inference-resnet101-dog1.yaml,0
Wed Dec  8 01:18:54 EST 2021,inference-densenet169-dog5-job-0,job_config_inference-densenet169-dog5.yaml,4
Wed Dec  8 01:18:59 EST 2021,inference-resnet18-dog2-job-0,job_config_inference-resnet18-dog2.yaml,4
Wed Dec  8 01:19:03 EST 2021,inference-vgg11-cat1-job-0,job_config_inference-vgg11-cat1.yaml,5
Wed Dec  8 01:19:08 EST 2021,inference-vgg13-hen4-job-0,job_config_inference-vgg13-hen4.yaml,1
Wed Dec  8 01:19:10 EST 2021,inference-vgg19-hen4-job-0,job_config_inference-vgg19-hen4.yaml,5
Wed Dec  8 01:19:15 EST 2021,inference-resnet101-cat2-job-0,job_config_inference-resnet101-cat2.yaml,2
Wed Dec  8 01:19:17 EST 2021,inference-resnet152-cat3-job-0,job_config_inference-resnet152-cat3.yaml,0
Wed Dec  8 01:19:17 EST 2021,single-node-densenet121-cifar10-epochs1-batchsize16-job-0,job_config_single-node-densenet121-cifar10-epochs1-batchsize16.yaml,0
Wed Dec  8 01:19:17 EST 2021,inference-vgg13-goose3-job-0,job_config_inference-vgg13-goose3.yaml,5
Wed Dec  8 01:19:23 EST 2021,single-node-resnet152-cifar10-epochs1-batchsize64-job-0,job_config_single-node-resnet152-cifar10-epochs1-batchsize64.yaml,2
Wed Dec  8 01:19:25 EST 2021,inference-densenet201-goose1-job-0,job_config_inference-densenet201-goose1.yaml,0
Wed Dec  8 01:19:25 EST 2021,single-node-densenet169-cifar10-epochs1-batchsize8-job-0,job_config_single-node-densenet169-cifar10-epochs1-batchsize8.yaml,4
Wed Dec  8 01:19:29 EST 2021,inference-resnet101-snail2-job-0,job_config_inference-resnet101-snail2.yaml,0
Wed Dec  8 01:19:29 EST 2021,single-node-densenet121-cifar10-epochs1-batchsize8-job-0,job_config_single-node-densenet121-cifar10-epochs1-batchsize8.yaml,0
Wed Dec  8 01:19:30 EST 2021,inference-resnet34-dog5-job-0,job_config_inference-resnet34-dog5.yaml,5
Wed Dec  8 01:19:35 EST 2021,inference-densenet169-dog4-job-0,job_config_inference-densenet169-dog4.yaml,5
Wed Dec  8 01:19:40 EST 2021,single-node-densenet201-cifar10-epochs1-batchsize64-job-0,job_config_single-node-densenet201-cifar10-epochs1-batchsize64.yaml,4
Wed Dec  8 01:19:45 EST 2021,inference-resnet50-dog3-job-0,job_config_inference-resnet50-dog3.yaml,4
Wed Dec  8 01:19:49 EST 2021,inference-densenet201-hen1-job-0,job_config_inference-densenet201-hen1.yaml,1
Wed Dec  8 01:19:50 EST 2021,inference-vgg19-goose5-job-0,job_config_inference-vgg19-goose5.yaml,4
Wed Dec  8 01:19:54 EST 2021,inference-vgg16-dog5-job-0,job_config_inference-vgg16-dog5.yaml,0
Wed Dec  8 01:19:55 EST 2021,inference-resnet50-hen3-job-0,job_config_inference-resnet50-hen3.yaml,3
Wed Dec  8 01:19:58 EST 2021,inference-vgg13-goose4-job-0,job_config_inference-vgg13-goose4.yaml,0
Wed Dec  8 01:19:58 EST 2021,inference-densenet201-snail3-job-0,job_config_inference-densenet201-snail3.yaml,1
Wed Dec  8 01:19:59 EST 2021,inference-vgg11-tigershark4-job-0,job_config_inference-vgg11-tigershark4.yaml,3
Wed Dec  8 01:20:03 EST 2021,inference-vgg11-tigershark1-job-0,job_config_inference-vgg11-tigershark1.yaml,0
Wed Dec  8 01:20:03 EST 2021,inference-resnet50-snail4-job-0,job_config_inference-resnet50-snail4.yaml,4
