model,batchsize,activations,parameters,input,peak mem usage,Pipelines/CUDA cores,Memory bandwidth (GB/s),Memory clock speed (MHz),Tensor cores,SM count
vgg13,32,3181.76,507.54,18.38,6121,5888,512,16000,184,46
vgg13,64,6363.52,507.54,36.75,9246,5888,512,16000,184,46
vgg13,8,795.44,507.54,4.59,4119,5120,900,1752,640,80
vgg13,16,1590.88,507.54,9.19,4505,5120,900,1752,640,80
vgg13,32,3181.76,507.54,18.38,5973,5120,900,1752,640,80
vgg13,64,6363.52,507.54,36.75,9243,5120,900,1752,640,80
vgg13,8,795.44,507.54,4.59,4189,10496,935.8,19495,328,82
vgg13,16,1590.88,507.54,9.19,4599,10496,935.8,19495,328,82
vgg13,32,3181.76,507.54,18.38,6249,10496,935.8,19495,328,82
vgg13,64,6363.52,507.54,36.75,10797,10496,935.8,19495,328,82
vgg16,8,874.88,527.79,4.59,3864,2496,240.6,5012,0,13
vgg16,16,1749.76,527.79,9.19,4450,2496,240.6,5012,0,13
vgg16,32,3499.52,527.79,18.38,7716,2496,240.6,5012,0,13
vgg16,64,6999.04,527.79,36.75,11206,2496,240.6,5012,0,13
vgg16,8,874.88,527.79,4.59,3988,2560,448,14000,320,40
vgg16,16,1749.76,527.79,9.19,5054,2560,448,14000,320,40
vgg16,32,3499.52,527.79,18.38,7912,2560,448,14000,320,40
vgg16,64,6999.04,527.79,36.75,10005,2560,448,14000,320,40
vgg16,8,874.88,527.79,4.59,4107,5888,512,16000,184,46
vgg16,16,1749.76,527.79,9.19,4721,5888,512,16000,184,46
vgg16,32,3499.52,527.79,18.38,6307,5888,512,16000,184,46
vgg16,64,6999.04,527.79,36.75,10056,5888,512,16000,184,46
vgg16,8,874.88,527.79,4.59,4219,5120,900,1752,640,80
vgg16,16,1749.76,527.79,9.19,4755,5120,900,1752,640,80
vgg16,32,3499.52,527.79,18.38,6251,5120,900,1752,640,80
vgg16,64,6999.04,527.79,36.75,10155,5120,900,1752,640,80
vgg16,8,874.88,527.79,4.59,4235,10496,935.8,19495,328,82
vgg16,16,1749.76,527.79,9.19,4849,10496,935.8,19495,328,82
vgg16,32,3499.52,527.79,18.38,6435,10496,935.8,19495,328,82
vgg16,64,6999.04,527.79,36.75,10467,10496,935.8,19495,328,82
vgg19,8,954.56,527.79,4.59,3884,2496,240.6,5012,0,13
vgg19,16,1909.12,527.79,9.19,4102,2496,240.6,5012,0,13
vgg19,32,3818.24,527.79,18.38,6570,2496,240.6,5012,0,13
vgg19,64,7636.48,527.79,36.75,10088,2496,240.6,5012,0,13
vgg19,8,954.56,527.79,4.59,4022,2560,448,14000,320,40
vgg19,16,1909.12,527.79,9.19,4706,2560,448,14000,320,40
vgg19,32,3818.24,527.79,18.38,7174,2560,448,14000,320,40
vgg19,64,7636.48,527.79,36.75,10115,2560,448,14000,320,40
vgg19,8,954.56,527.79,4.59,4161,5888,512,16000,184,46
vgg19,16,1909.12,527.79,9.19,4889,5888,512,16000,184,46
vgg19,32,3818.24,527.79,18.38,6373,5888,512,16000,184,46
vgg19,64,7636.48,527.79,36.75,10452,5888,512,16000,184,46
vgg19,8,954.56,527.79,4.59,4245,5120,900,1752,640,80
vgg19,16,1909.12,527.79,9.19,4923,5120,900,1752,640,80
vgg19,32,3818.24,527.79,18.38,6425,5120,900,1752,640,80
vgg19,64,7636.48,527.79,36.75,10673,5120,900,1752,640,80
vgg19,8,954.56,527.79,4.59,4289,10496,935.8,19495,328,82
vgg19,16,1909.12,527.79,9.19,5017,10496,935.8,19495,328,82
vgg19,32,3818.24,527.79,18.38,6501,10496,935.8,19495,328,82
vgg19,64,7636.48,527.79,36.75,11329,10496,935.8,19495,328,82
